time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2016-10-30 00:00:00,11.7,10.4,92.0,,,250.0,14.8,,1029.3,,
2016-10-30 01:00:00,11.6,9.8,89.0,,,250.0,9.4,,1029.2,,
2016-10-30 01:00:00,11.6,9.5,87.0,,,240.0,18.4,,1028.6,,
2016-10-30 02:00:00,11.4,9.1,86.0,,,240.0,16.6,,1028.4,,
2016-10-30 03:00:00,10.9,8.3,84.0,,,240.0,16.6,,1028.2,,
2016-10-30 04:00:00,10.3,8.6,89.0,,,250.0,14.8,,1027.8,,
2016-10-30 05:00:00,10.7,8.6,87.0,,,270.0,16.6,,1028.0,,
2016-10-30 06:00:00,10.4,8.7,89.0,,,260.0,14.8,,1027.6,,
2016-10-30 07:00:00,10.5,8.8,89.0,,,270.0,11.2,,1027.4,,17.0
2016-10-30 08:00:00,10.9,9.0,88.0,,,270.0,13.0,,1027.6,,
2016-10-30 09:00:00,10.7,9.5,92.0,,,250.0,14.8,,1027.9,,
2016-10-30 10:00:00,11.2,9.6,90.0,,,260.0,14.8,,1027.9,,
2016-10-30 11:00:00,12.1,9.7,85.0,,,270.0,16.6,,1027.7,,
2016-10-30 12:00:00,13.2,9.8,80.0,,,260.0,25.9,,1027.3,,
2016-10-30 13:00:00,14.3,10.1,76.0,,,260.0,22.3,,1027.1,,
2016-10-30 14:00:00,13.7,9.7,77.0,,,260.0,20.5,,1026.9,,
2016-10-30 15:00:00,14.4,10.0,75.0,,,260.0,20.5,,1026.5,,
2016-10-30 16:00:00,13.5,9.5,77.0,,,270.0,18.4,,1026.5,,
2016-10-30 17:00:00,12.0,9.2,83.0,,,280.0,11.2,,1026.8,,
2016-10-30 18:00:00,11.1,9.0,87.0,,,280.0,3.6,,1027.1,,
2016-10-30 19:00:00,11.8,9.7,87.0,,,280.0,13.0,,1027.1,,
2016-10-30 20:00:00,12.0,9.4,84.0,,,280.0,9.4,,1027.4,,
2016-10-30 21:00:00,11.6,9.3,86.0,,,290.0,9.4,,1027.3,,
2016-10-30 22:00:00,11.1,9.2,88.0,,,260.0,9.4,,1027.1,,
2016-10-30 23:00:00,11.9,9.5,85.0,,,280.0,13.0,,1026.6,,
2016-10-31 00:00:00,11.8,9.5,86.0,,,270.0,14.8,,1026.4,,
2016-10-31 01:00:00,11.5,9.4,87.0,,,260.0,13.0,,1026.4,,
2016-10-31 02:00:00,10.7,9.1,90.0,,,250.0,9.4,,1026.3,,
2016-10-31 03:00:00,10.4,9.5,94.0,,,250.0,16.6,,1025.8,,
2016-10-31 04:00:00,10.5,9.6,94.0,,,260.0,16.6,,1025.4,,
2016-10-31 05:00:00,10.4,9.2,92.0,,,250.0,18.4,,1025.5,,
2016-10-31 06:00:00,10.3,9.1,92.0,,,260.0,9.4,,1025.2,,
2016-10-31 07:00:00,10.1,9.2,94.0,,,260.0,16.6,,1025.4,,
2016-10-31 08:00:00,10.4,9.3,93.0,,,270.0,14.8,,1025.5,,
2016-10-31 09:00:00,10.9,9.7,92.0,,,250.0,14.8,,1025.5,,
2016-10-31 10:00:00,11.6,9.7,88.0,,,260.0,9.4,,1025.2,,
2016-10-31 11:00:00,13.6,10.2,80.0,,,280.0,14.8,,1025.4,,
2016-10-31 12:00:00,13.9,9.7,76.0,,,300.0,13.0,,1025.2,,
2016-10-31 13:00:00,14.5,10.5,77.0,,,280.0,9.4,,1025.0,,
2016-10-31 14:00:00,14.3,10.1,76.0,,,270.0,9.4,,1024.7,,
2016-10-31 15:00:00,13.8,10.8,82.0,,,260.0,9.4,,1024.6,,
2016-10-31 16:00:00,13.2,10.7,85.0,,,260.0,9.4,,1024.6,,
2016-10-31 17:00:00,11.6,10.0,90.0,,,260.0,7.6,,1024.8,,17.0
2016-10-31 18:00:00,11.6,9.8,89.0,,,80.0,18.4,,1025.6,,17.0
2016-10-31 19:00:00,9.6,9.0,96.0,,,60.0,13.0,,1026.4,,8.0
2016-10-31 20:00:00,9.3,8.7,96.0,,,60.0,7.6,,1026.3,,
2016-10-31 21:00:00,8.7,8.1,96.0,,,40.0,7.6,,1027.0,,
2016-10-31 22:00:00,8.6,8.2,97.0,,,110.0,1.8,,1027.0,,
2016-10-31 23:00:00,8.5,7.9,96.0,,,100.0,1.8,,1027.1,,
2016-11-01 00:00:00,8.1,7.5,96.0,,,260.0,5.4,,1027.4,,
2016-11-01 01:00:00,8.0,7.6,97.0,,,260.0,5.4,,1027.3,,
2016-11-01 02:00:00,7.3,6.1,92.0,,,300.0,7.6,,1027.3,,
2016-11-01 03:00:00,6.3,3.8,84.0,,,290.0,7.6,,1027.3,,
2016-11-01 04:00:00,5.2,2.6,83.0,,,280.0,13.0,,1027.4,,
2016-11-01 05:00:00,5.4,1.9,78.0,,,280.0,11.2,,1027.3,,
2016-11-01 06:00:00,4.1,1.8,85.0,,,270.0,11.2,,1027.2,,
2016-11-01 07:00:00,5.5,2.3,80.0,,,310.0,11.2,,1027.4,,
2016-11-01 08:00:00,5.6,2.1,78.0,,,300.0,16.6,,1027.5,,
2016-11-01 09:00:00,6.5,2.6,76.0,,,290.0,13.0,,1027.9,,
2016-11-01 10:00:00,7.6,3.3,74.0,,,300.0,16.6,,1027.9,,
2016-11-01 11:00:00,8.4,3.4,71.0,,,300.0,13.0,,1027.8,,
2016-11-01 12:00:00,9.4,2.7,63.0,,,290.0,16.6,,1027.3,,
2016-11-01 13:00:00,9.9,3.4,64.0,,,300.0,18.4,,1026.8,,
2016-11-01 14:00:00,9.9,2.5,60.0,,,320.0,22.3,,1026.0,,
2016-11-01 15:00:00,9.6,2.7,62.0,,,300.0,20.5,,1026.1,,
2016-11-01 16:00:00,8.9,2.5,64.0,,,280.0,20.5,,1025.4,,
2016-11-01 17:00:00,8.1,2.3,67.0,,,290.0,13.0,,1025.1,,
2016-11-01 18:00:00,7.3,2.4,71.0,,,280.0,14.8,,1025.0,,
2016-11-01 19:00:00,6.3,1.4,71.0,,,270.0,14.8,,1024.9,,
2016-11-01 20:00:00,3.7,0.7,81.0,,,230.0,9.4,,1024.4,,
2016-11-01 21:00:00,6.0,1.3,72.0,,,280.0,16.6,,1024.0,,
2016-11-01 22:00:00,6.2,1.9,74.0,,,290.0,13.0,,1023.9,,
2016-11-01 23:00:00,6.3,2.0,74.0,,,280.0,14.8,,1023.7,,
2016-11-02 00:00:00,6.0,1.5,73.0,,,290.0,16.6,,1023.9,,
2016-11-02 01:00:00,6.0,1.1,71.0,,,290.0,18.4,,1023.5,,
2016-11-02 02:00:00,6.0,1.1,71.0,,,300.0,18.4,,1023.5,,
2016-11-02 03:00:00,5.8,1.3,73.0,,,290.0,18.4,,1023.1,,
2016-11-02 04:00:00,6.0,1.5,73.0,,,290.0,18.4,,1023.0,,
2016-11-02 05:00:00,6.3,1.6,72.0,,,300.0,22.3,,1022.8,,
2016-11-02 06:00:00,6.5,2.2,74.0,,,300.0,16.6,,1023.0,,
2016-11-02 07:00:00,6.3,1.8,73.0,,,300.0,18.4,,1023.1,,
2016-11-02 08:00:00,6.6,2.7,76.0,,,300.0,20.5,,1023.3,,
2016-11-02 09:00:00,7.7,3.6,75.0,,,250.0,14.8,,1023.9,,
2016-11-02 10:00:00,8.7,3.3,69.0,,,290.0,16.6,,1024.1,,
2016-11-02 11:00:00,8.9,3.5,69.0,,,290.0,16.6,,1024.1,,
2016-11-02 12:00:00,8.9,3.9,71.0,,,270.0,14.8,,1023.8,,
2016-11-02 13:00:00,9.6,4.4,70.0,,,280.0,20.5,,1023.6,,
2016-11-02 14:00:00,10.0,3.9,66.0,,,290.0,20.5,,1023.4,,
2016-11-02 15:00:00,9.0,3.6,69.0,,,280.0,13.0,,1023.3,,
2016-11-02 16:00:00,6.9,3.7,80.0,,,230.0,11.2,,1023.4,,
2016-11-02 17:00:00,5.0,2.5,84.0,,,250.0,11.2,,1023.0,,
2016-11-02 18:00:00,4.9,1.9,81.0,,,270.0,11.2,,1023.1,,
2016-11-02 19:00:00,4.3,1.7,83.0,,,270.0,9.4,,1022.9,,
2016-11-02 20:00:00,3.6,1.6,87.0,,,270.0,9.4,,1022.2,,
2016-11-02 21:00:00,3.8,2.3,90.0,,,290.0,9.4,,1022.0,,
2016-11-02 22:00:00,3.3,1.7,89.0,,,270.0,7.6,,1021.6,,
2016-11-02 23:00:00,4.6,2.8,88.0,,,270.0,11.2,,1021.2,,
2016-11-03 00:00:00,4.7,3.0,89.0,,,260.0,13.0,,1020.8,,
2016-11-03 01:00:00,4.5,3.0,90.0,,,270.0,13.0,,1020.3,,
2016-11-03 02:00:00,4.3,3.0,91.0,,,270.0,7.6,,1019.9,,
2016-11-03 03:00:00,4.1,2.8,91.0,,,260.0,11.2,,1019.3,,
2016-11-03 04:00:00,4.8,3.5,91.0,,,270.0,11.2,,1018.6,,
2016-11-03 05:00:00,4.9,3.6,91.0,,,270.0,5.4,,1017.8,,
2016-11-03 06:00:00,4.7,4.0,95.0,,,270.0,9.4,,1016.9,,7.0
2016-11-03 07:00:00,5.8,4.9,94.0,,,290.0,7.6,,1016.3,,8.0
2016-11-03 08:00:00,6.2,5.5,95.0,,,280.0,9.4,,1016.0,,17.0
2016-11-03 09:00:00,6.4,6.0,97.0,,,280.0,7.6,,1015.7,,7.0
2016-11-03 10:00:00,6.6,6.2,97.0,,,250.0,5.4,,1015.2,,
2016-11-03 11:00:00,7.3,6.9,97.0,,,260.0,9.4,,1014.6,,
2016-11-03 12:00:00,8.2,7.0,92.0,,,250.0,14.8,,1013.5,,
2016-11-03 13:00:00,9.1,7.1,87.0,,,240.0,13.0,,1012.6,,8.0
2016-11-03 14:00:00,8.6,6.4,86.0,,,250.0,18.4,,1011.8,,17.0
2016-11-03 15:00:00,8.1,6.7,91.0,,,240.0,16.6,,1010.9,,
2016-11-03 16:00:00,7.9,6.7,92.0,,,240.0,14.8,,1010.2,,
2016-11-03 17:00:00,7.6,6.4,92.0,,,240.0,13.0,,1009.4,,
2016-11-03 18:00:00,7.8,6.6,92.0,,,230.0,16.6,,1008.7,,
