time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2016-11-29 00:00:00,2.9,1.0,87.0,,,260.0,5.4,,1032.0,,
2016-11-29 01:00:00,2.8,1.3,90.0,,,240.0,9.4,,1031.5,,
2016-11-29 02:00:00,2.8,1.3,90.0,,,250.0,7.6,,1031.1,,
2016-11-29 03:00:00,3.7,0.9,82.0,,,290.0,5.4,,1030.8,,
2016-11-29 04:00:00,4.0,1.7,85.0,,,250.0,14.8,,1030.6,,
2016-11-29 05:00:00,3.8,2.0,88.0,,,250.0,16.6,,1030.3,,
2016-11-29 06:00:00,4.1,2.1,87.0,,,250.0,16.6,,1030.2,,
2016-11-29 07:00:00,3.7,2.1,89.0,,,260.0,18.4,,1030.3,,
2016-11-29 08:00:00,3.7,1.9,88.0,,,260.0,18.4,,1030.4,,
2016-11-29 09:00:00,2.6,1.4,92.0,,,270.0,18.4,,1030.2,,
2016-11-29 10:00:00,3.8,1.7,86.0,,,260.0,25.9,,1030.1,,
2016-11-29 11:00:00,5.6,2.1,78.0,,,260.0,29.5,,1029.8,,
2016-11-29 12:00:00,6.6,2.7,76.0,,,250.0,24.1,,1029.2,,
2016-11-29 13:00:00,7.3,3.2,75.0,,,260.0,25.9,,1028.7,,
2016-11-29 14:00:00,6.7,3.5,80.0,,,270.0,16.6,,1028.9,,
2016-11-29 15:00:00,6.4,4.1,85.0,,,260.0,24.1,,1028.5,,
2016-11-29 16:00:00,6.9,4.6,85.0,,,270.0,24.1,,1028.5,,
2016-11-29 17:00:00,5.1,3.6,90.0,,,260.0,18.4,,1028.9,,
2016-11-29 18:00:00,5.2,4.2,93.0,,,260.0,18.4,,1028.9,,
2016-11-29 19:00:00,5.2,4.2,93.0,,,260.0,22.3,,1029.2,,
2016-11-29 20:00:00,5.6,3.3,85.0,,,220.0,9.4,,1029.7,,
2016-11-29 21:00:00,5.6,3.6,87.0,,,230.0,16.6,,1029.5,,
2016-11-29 22:00:00,5.2,2.2,81.0,,,230.0,20.5,,1030.1,,
2016-11-29 23:00:00,5.1,1.9,80.0,,,240.0,24.1,,1029.9,,
2016-11-30 00:00:00,3.8,1.7,86.0,,,240.0,20.5,,1029.9,,
2016-11-30 01:00:00,3.8,1.3,84.0,,,240.0,22.3,,1029.5,,
2016-11-30 02:00:00,2.6,1.0,89.0,,,250.0,14.8,,1029.4,,
2016-11-30 03:00:00,2.5,1.0,90.0,,,260.0,20.5,,1029.4,,
2016-11-30 04:00:00,3.7,1.9,88.0,,,250.0,20.5,,1028.9,,
2016-11-30 05:00:00,4.6,2.3,85.0,,,250.0,24.1,,1028.4,,
2016-11-30 06:00:00,5.2,2.6,83.0,,,250.0,18.4,,1028.5,,
2016-11-30 07:00:00,5.6,2.8,82.0,,,250.0,20.5,,1028.2,,
2016-11-30 08:00:00,5.4,2.6,82.0,,,260.0,20.5,,1028.6,,
2016-11-30 09:00:00,5.4,2.4,81.0,,,250.0,14.8,,1028.5,,
2016-11-30 10:00:00,6.7,3.0,77.0,,,250.0,24.1,,1028.0,,
2016-11-30 11:00:00,7.5,3.2,74.0,,,270.0,22.3,,1027.9,,
2016-11-30 12:00:00,7.8,3.5,74.0,,,270.0,25.9,,1027.2,,
2016-11-30 13:00:00,9.1,3.9,70.0,,,270.0,33.5,,1026.7,,
2016-11-30 14:00:00,9.6,4.4,70.0,,,270.0,24.1,,1026.2,,
2016-11-30 15:00:00,10.0,4.6,69.0,,,290.0,31.7,,1025.8,,
2016-11-30 16:00:00,10.0,4.8,70.0,,,280.0,31.7,,1025.9,,
2016-11-30 17:00:00,9.4,4.6,72.0,,,270.0,24.1,,1026.0,,
2016-11-30 18:00:00,9.8,3.8,66.0,,,290.0,24.1,,1026.0,,
2016-11-30 19:00:00,9.8,4.0,67.0,,,280.0,25.9,,1026.1,,
2016-11-30 20:00:00,8.5,3.7,72.0,,,260.0,18.4,,1026.5,,
2016-11-30 21:00:00,9.2,3.8,69.0,,,280.0,22.3,,1026.3,,
2016-11-30 22:00:00,7.8,4.4,79.0,,,260.0,18.4,,1026.4,,
2016-11-30 23:00:00,9.3,5.5,77.0,,,270.0,27.7,,1026.3,,
2016-12-01 00:00:00,9.0,5.4,78.0,,,260.0,24.1,,1026.0,,
2016-12-01 01:00:00,9.6,5.6,76.0,,,270.0,22.3,,1025.5,,
2016-12-01 02:00:00,8.6,5.0,78.0,,,220.0,13.0,,1025.5,,
2016-12-01 03:00:00,8.7,5.4,80.0,,,250.0,18.4,,1025.5,,
2016-12-01 04:00:00,9.9,5.3,73.0,,,270.0,22.3,,1025.5,,
2016-12-01 05:00:00,10.0,4.8,70.0,,,270.0,20.5,,1025.1,,
2016-12-01 06:00:00,8.9,4.9,76.0,,,250.0,9.4,,1025.4,,
2016-12-01 07:00:00,8.7,4.9,77.0,,,260.0,16.6,,1025.2,,
2016-12-01 08:00:00,9.4,3.8,68.0,,,270.0,14.8,,1025.5,,
2016-12-01 09:00:00,8.9,3.9,71.0,,,260.0,16.6,,1025.8,,
2016-12-01 10:00:00,9.4,4.4,71.0,,,260.0,14.8,,1025.9,,
2016-12-01 11:00:00,10.3,4.9,69.0,,,250.0,13.0,,1026.0,,
2016-12-01 12:00:00,11.5,4.2,61.0,,,280.0,16.6,,1025.8,,
2016-12-01 13:00:00,11.7,4.2,60.0,,,290.0,20.5,,1025.5,,
2016-12-01 14:00:00,11.4,4.4,62.0,,,290.0,20.5,,1025.4,,
2016-12-01 15:00:00,11.0,4.5,64.0,,,290.0,18.4,,1025.4,,
2016-12-01 16:00:00,10.9,4.6,65.0,,,290.0,16.6,,1025.8,,
2016-12-01 17:00:00,9.8,4.8,71.0,,,280.0,11.2,,1026.1,,
2016-12-01 18:00:00,10.0,5.2,72.0,,,300.0,13.0,,1026.3,,
2016-12-01 19:00:00,9.2,4.4,72.0,,,280.0,16.6,,1026.6,,
2016-12-01 20:00:00,6.2,2.7,78.0,,,260.0,14.8,,1026.7,,
2016-12-01 21:00:00,8.5,3.7,72.0,,,290.0,14.8,,1026.8,,
2016-12-01 22:00:00,7.1,3.5,78.0,,,280.0,18.4,,1026.7,,
2016-12-01 23:00:00,6.4,3.9,84.0,,,280.0,13.0,,1026.8,,
2016-12-02 00:00:00,7.2,3.6,78.0,,,300.0,13.0,,1026.8,,
2016-12-02 01:00:00,6.4,3.6,82.0,,,310.0,9.4,,1026.7,,
2016-12-02 02:00:00,4.6,2.6,87.0,,,250.0,14.8,,1026.9,,
2016-12-02 03:00:00,5.9,3.1,82.0,,,280.0,14.8,,1026.7,,
2016-12-02 04:00:00,5.7,2.7,81.0,,,300.0,9.4,,1026.9,,
2016-12-02 05:00:00,3.8,2.5,91.0,,,280.0,3.6,,1027.2,,
2016-12-02 06:00:00,5.7,3.2,84.0,,,280.0,9.4,,1027.2,,17.0
2016-12-02 07:00:00,6.2,3.4,82.0,,,310.0,9.4,,1027.2,,
2016-12-02 08:00:00,6.1,3.8,85.0,,,290.0,5.4,,1027.5,,
2016-12-02 09:00:00,6.2,4.0,86.0,,,280.0,7.6,,1028.0,,
2016-12-02 10:00:00,6.1,3.9,86.0,,,290.0,7.6,,1028.0,,
2016-12-02 11:00:00,6.6,4.8,88.0,,,260.0,11.2,,1028.3,,
