,transaction_id,date_time,weekday_weekend,temp,dwpt,rhum,prcp,snow,wspd,pres,is_holiday,item_id
0,1,2016-10-30 09:58:00,1,10.7,9.5,92.0,0,0,14.8,1027.9,0,[1]
1,2,2016-10-30 10:05:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 2]"
2,3,2016-10-30 10:07:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[3, 4, 5]"
3,4,2016-10-30 10:08:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[6]
4,5,2016-10-30 10:13:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[7, 8, 1]"
5,6,2016-10-30 10:16:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[9, 8, 6]"
6,7,2016-10-30 10:19:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[9, 8, 7, 10]"
7,8,2016-10-30 10:20:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[8, 1]"
8,9,2016-10-30 10:21:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 6]"
9,10,2016-10-30 10:25:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 9]"
10,11,2016-10-30 10:27:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 1]"
11,12,2016-10-30 10:30:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[4, 7, 11, 8, 10]"
12,13,2016-10-30 10:31:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[12, 1, 7]"
13,14,2016-10-30 10:32:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 8]"
14,15,2016-10-30 10:34:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[13, 2]"
15,16,2016-10-30 10:37:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 7]"
16,17,2016-10-30 10:38:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[3]
17,18,2016-10-30 10:41:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[14]
18,19,2016-10-30 10:43:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[14, 1]"
19,20,2016-10-30 10:45:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9]"
20,21,2016-10-30 10:49:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[7, 7, 9, 1]"
21,22,2016-10-30 10:52:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[4]
22,23,2016-10-30 10:53:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 6]"
23,24,2016-10-30 10:54:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[1]
24,25,2016-10-30 10:55:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[2]
25,26,2016-10-30 10:56:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[15]
26,27,2016-10-30 11:02:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
27,28,2016-10-30 11:03:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 1]"
28,29,2016-10-30 11:05:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 4]"
29,30,2016-10-30 11:07:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[1]
30,31,2016-10-30 11:12:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[12]
31,32,2016-10-30 11:16:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[2, 6]"
32,33,2016-10-30 11:22:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[7]
33,34,2016-10-30 11:25:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 6]"
34,35,2016-10-30 11:27:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[6, 2]"
35,36,2016-10-30 11:33:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[10, 1]"
36,37,2016-10-30 11:37:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 1]"
37,38,2016-10-30 11:42:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 10]"
38,39,2016-10-30 11:44:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
39,40,2016-10-30 11:55:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[16, 11, 7, 6]"
40,41,2016-10-30 11:57:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
41,42,2016-10-30 11:57:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 10]"
42,43,2016-10-30 12:00:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[2, 15]"
43,44,2016-10-30 12:05:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 9]"
44,45,2016-10-30 12:08:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 3, 9]"
45,46,2016-10-30 12:09:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[7]
46,47,2016-10-30 12:15:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[17, 16, 1, 6, 4]"
47,48,2016-10-30 12:17:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[7]
48,49,2016-10-30 12:23:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 7, 9]"
49,50,2016-10-30 12:25:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[1, 18]"
50,51,2016-10-30 12:26:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[1]
51,52,2016-10-30 12:28:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[2]
52,54,2016-10-30 12:33:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[1]
53,55,2016-10-30 12:38:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[19, 7, 10, 20]"
54,56,2016-10-30 12:39:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 19]"
55,57,2016-10-30 12:45:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[2]
56,58,2016-10-30 12:59:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[18, 3, 10, 21]"
57,59,2016-10-30 13:02:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[10]
58,60,2016-10-30 13:14:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[5, 7, 16, 7]"
59,61,2016-10-30 13:15:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[7]
60,62,2016-10-30 13:24:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[22, 20, 20, 7, 23, 7]"
61,63,2016-10-30 13:33:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[7]
62,64,2016-10-30 13:34:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[24]
63,65,2016-10-30 13:37:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[11, 25, 10, 7]"
64,66,2016-10-30 13:40:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[20, 19, 13]"
65,67,2016-10-30 13:46:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[20, 13, 6]"
66,68,2016-10-30 13:49:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[19, 7, 10, 2, 26]"
67,69,2016-10-30 13:51:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,"[1, 10, 18]"
68,70,2016-10-30 13:54:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[15]
69,71,2016-10-30 13:56:00,1,14.3,10.1,76.0,0,0,22.3,1027.1,0,[6]
70,72,2016-10-30 14:21:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,"[7, 1]"
71,73,2016-10-30 14:22:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,[1]
72,74,2016-10-30 14:24:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,"[7, 1]"
73,75,2016-10-30 14:32:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,"[4, 19]"
74,76,2016-10-30 14:32:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,[7]
75,77,2016-10-30 14:35:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,[2]
76,78,2016-10-30 14:42:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,[15]
77,79,2016-10-30 14:45:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,"[15, 10, 7, 6]"
78,80,2016-10-30 14:48:00,1,13.7,9.7,77.0,0,0,20.5,1026.9,0,"[19, 1, 7]"
79,81,2016-10-31 08:28:00,0,10.4,9.3,93.0,0,0,14.8,1025.5,0,"[7, 24]"
80,82,2016-10-31 08:47:00,0,10.4,9.3,93.0,0,0,14.8,1025.5,0,"[11, 1]"
81,83,2016-10-31 08:57:00,0,10.4,9.3,93.0,0,0,14.8,1025.5,0,"[7, 1]"
82,84,2016-10-31 09:04:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[1]
83,85,2016-10-31 09:10:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[7, 7, 8, 9]"
84,86,2016-10-31 09:11:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[16]
85,87,2016-10-31 09:12:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[1]
86,88,2016-10-31 09:16:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[7, 7, 4]"
87,89,2016-10-31 09:19:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[1]
88,90,2016-10-31 09:20:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[1, 7]"
89,91,2016-10-31 09:22:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[10]
90,92,2016-10-31 09:27:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[7]
91,93,2016-10-31 09:29:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[1, 27]"
92,94,2016-10-31 09:39:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[7, 7]"
93,95,2016-10-31 09:43:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[10, 8, 14]"
94,96,2016-10-31 09:46:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[8, 8, 7, 16]"
95,97,2016-10-31 09:51:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[7, 8, 16]"
96,98,2016-10-31 09:52:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[14]
97,99,2016-10-31 09:56:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,"[8, 8, 7, 1]"
98,100,2016-10-31 09:58:00,0,10.9,9.7,92.0,0,0,14.8,1025.5,0,[1]
