item,item_id
Bread,1
Scandinavian,2
Hot chocolate,3
Jam,4
Cookies,5
Muffin,6
Coffee,7
Pastry,8
Medialuna,9
Tea,10
Tartine,11
Basket,12
Mineral water,13
Farm House,14
Fudge,15
Juice,16
Ella's Kitchen Pouches,17
Victorian Sponge,18
Frittata,19
Hearty & Seasonal,20
Soup,21
Pick and Mix Bowls,22
Smoothies,23
Cake,24
Mighty Protein,25
Chicken sand,26
Coke,27
My-5 Fruit Shoot,28
Focaccia,29
Sandwich,30
Alfajores,31
Eggs,32
Brownie,33
Dulce de Leche,34
Honey,35
The BART,36
Granola,37
Fairy Doors,38
Empanadas,39
Keeping It Local,40
Art Tray,41
Bowl Nic Pitt,42
Bread Pudding,43
Adjustment,44
Truffles,45
Chimichurri Oil,46
Bacon,47
Spread,48
Kids biscuit,49
Siblings,50
Caramel bites,51
Jammie Dodgers,52
Tiffin,53
Olum & polenta,54
Polenta,55
The Nomad,56
Hack the stack,57
Bakewell,58
Lemon and coconut,59
Toast,60
Scone,61
Crepes,62
Vegan mincepie,63
Bare Popcorn,64
Muesli,65
Crisps,66
Pintxos,67
Gingerbread syrup,68
Panatone,69
Brioche and salami,70
Afternoon with the baker,71
Salad,72
Chicken Stew,73
Spanish Brunch,74
Raspberry shortbread sandwich,75
Extra Salami or Feta,76
Duck egg,77
Baguette,78
Valentine's card,79
Tshirt,80
Vegan Feast,81
Postcard,82
Nomad bag,83
Chocolates,84
Coffee granules ,85
Drinking chocolate spoons ,86
Christmas common,87
Argentina Night,88
Half slice Monster ,89
Gift voucher,90
Cherry me Dried fruit,91
Mortimer,92
Raw bars,93
Tacos/Fajita,94
