transaction_id,date_time,weekday_weekend,temp,dwpt,rhum,prcp,snow,wspd,pres,is_holiday,item_id
1,2016-10-30 09:58:00,1,10.7,9.5,92.0,0,0,14.8,1027.9,0,[1]
2,2016-10-30 10:05:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 2]"
3,2016-10-30 10:07:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[3, 4, 5]"
4,2016-10-30 10:08:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[6]
5,2016-10-30 10:13:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[7, 8, 1]"
6,2016-10-30 10:16:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[9, 8, 6]"
7,2016-10-30 10:19:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[9, 8, 7, 10]"
8,2016-10-30 10:20:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[8, 1]"
9,2016-10-30 10:21:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 6]"
10,2016-10-30 10:25:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 9]"
11,2016-10-30 10:27:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 1]"
12,2016-10-30 10:30:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[4, 7, 11, 8, 10]"
13,2016-10-30 10:31:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[12, 1, 7]"
14,2016-10-30 10:32:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 8]"
15,2016-10-30 10:34:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[13, 2]"
16,2016-10-30 10:37:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9, 7]"
17,2016-10-30 10:38:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[3]
18,2016-10-30 10:41:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[14]
19,2016-10-30 10:43:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[14, 1]"
20,2016-10-30 10:45:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[1, 9]"
21,2016-10-30 10:49:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[7, 7, 9, 1]"
22,2016-10-30 10:52:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[4]
23,2016-10-30 10:53:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,"[2, 6]"
24,2016-10-30 10:54:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[1]
25,2016-10-30 10:55:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[2]
26,2016-10-30 10:56:00,1,11.2,9.6,90.0,0,0,14.8,1027.9,0,[15]
27,2016-10-30 11:02:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
28,2016-10-30 11:03:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 1]"
29,2016-10-30 11:05:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 4]"
30,2016-10-30 11:07:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[1]
31,2016-10-30 11:12:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[12]
32,2016-10-30 11:16:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[2, 6]"
33,2016-10-30 11:22:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[7]
34,2016-10-30 11:25:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 6]"
35,2016-10-30 11:27:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[6, 2]"
36,2016-10-30 11:33:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[10, 1]"
37,2016-10-30 11:37:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[7, 1]"
38,2016-10-30 11:42:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 10]"
39,2016-10-30 11:44:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
40,2016-10-30 11:55:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[16, 11, 7, 6]"
41,2016-10-30 11:57:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,[2]
42,2016-10-30 11:57:00,1,12.1,9.7,85.0,0,0,16.6,1027.7,0,"[1, 10]"
43,2016-10-30 12:00:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[2, 15]"
44,2016-10-30 12:05:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 9]"
45,2016-10-30 12:08:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,"[7, 3, 9]"
46,2016-10-30 12:09:00,1,13.2,9.8,80.0,0,0,25.9,1027.3,0,[7]
